epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.395,3.97163,3.78707,3.36712,0.04882,0.10625,0.02265,0.00587,3.33252,6.27489,3.05271,0.00332359,0.00332359,0.0700877
2,479.929,2.87235,2.2782,1.91484,0.27148,0.29465,0.21704,0.07449,2.54265,2.5003,1.94505,0.00659102,0.00659102,0.0400218
3,733.062,2.37988,1.66834,1.58472,0.57634,0.45595,0.4755,0.20054,2.07204,1.89065,1.59458,0.00979245,0.00979245,0.00988991
4,980.342,2.14853,1.38472,1.4336,0.67166,0.58153,0.62557,0.29322,1.94151,1.45823,1.46293,0.009703,0.009703,0.009703
5,1197.28,2.02755,1.22771,1.34923,0.71529,0.66168,0.68544,0.32813,1.76663,1.23631,1.36094,0.009604,0.009604,0.009604
6,1412.81,1.94786,1.1171,1.29995,0.6941,0.67765,0.67696,0.33837,1.69939,1.18883,1.31404,0.009505,0.009505,0.009505
7,1645.76,1.88579,1.06667,1.28029,0.80631,0.71397,0.78218,0.405,1.69218,0.99188,1.29145,0.009406,0.009406,0.009406
8,1885.98,1.85267,1.01669,1.26113,0.82388,0.73552,0.79694,0.41975,1.64987,0.96366,1.26363,0.009307,0.009307,0.009307
9,2084.2,1.81798,0.98584,1.25084,0.8134,0.74388,0.82199,0.44947,1.61686,0.90558,1.23909,0.009208,0.009208,0.009208
10,2281.96,1.79083,0.95176,1.22603,0.85356,0.73012,0.81976,0.45215,1.5768,0.90746,1.22758,0.009109,0.009109,0.009109
11,2552.13,1.77981,0.92972,1.22697,0.84185,0.76534,0.83165,0.46277,1.57606,0.87968,1.22033,0.00901,0.00901,0.00901
12,2814.79,1.76566,0.91308,1.21013,0.85615,0.76484,0.84548,0.4682,1.57287,0.82886,1.21624,0.008911,0.008911,0.008911
13,3077.45,1.72702,0.89558,1.21231,0.8771,0.76897,0.84975,0.47878,1.53156,0.83388,1.20416,0.008812,0.008812,0.008812
14,3370.9,1.72018,0.88045,1.19687,0.87548,0.76841,0.85598,0.47736,1.54411,0.83771,1.20005,0.008713,0.008713,0.008713
15,3670.86,1.70049,0.86136,1.19044,0.86588,0.7708,0.84908,0.48719,1.50413,0.81232,1.183,0.008614,0.008614,0.008614
16,3951.97,1.68943,0.857,1.18004,0.87392,0.79521,0.86234,0.49777,1.49413,0.79918,1.1693,0.008515,0.008515,0.008515
17,4238.61,1.68343,0.84198,1.17828,0.88533,0.80538,0.86937,0.50332,1.49387,0.78814,1.18164,0.008416,0.008416,0.008416
18,4512.57,1.68162,0.8346,1.17381,0.88083,0.79637,0.87256,0.51326,1.48054,0.76695,1.17025,0.008317,0.008317,0.008317
19,4790.17,1.65613,0.82607,1.17425,0.89093,0.80038,0.87229,0.50314,1.4882,0.77651,1.16868,0.008218,0.008218,0.008218
20,5068.41,1.64479,0.81949,1.16887,0.88278,0.80558,0.87327,0.49822,1.52059,0.77468,1.17987,0.008119,0.008119,0.008119
21,5347.91,1.64512,0.80978,1.16022,0.89599,0.80496,0.88331,0.5185,1.45348,0.73958,1.15138,0.00802,0.00802,0.00802
22,5640.88,1.64275,0.80087,1.15296,0.88078,0.8148,0.87666,0.51678,1.46206,0.74347,1.15327,0.007921,0.007921,0.007921
23,5920.19,1.62763,0.79553,1.1591,0.89596,0.81313,0.88191,0.52448,1.44761,0.73451,1.14655,0.007822,0.007822,0.007822
24,6194.72,1.62427,0.7931,1.1563,0.89218,0.81616,0.88016,0.5107,1.49473,0.74255,1.16632,0.007723,0.007723,0.007723
25,6447.23,1.62227,0.79142,1.16081,0.89362,0.81675,0.88383,0.52083,1.45652,0.73494,1.14664,0.007624,0.007624,0.007624
26,6658.61,1.61617,0.77861,1.14604,0.89758,0.82039,0.88651,0.53027,1.43805,0.71626,1.1357,0.007525,0.007525,0.007525
27,6866.82,1.60934,0.77563,1.14387,0.90459,0.81715,0.88881,0.52507,1.44176,0.71469,1.13502,0.007426,0.007426,0.007426
28,7069.62,1.60796,0.77261,1.14381,0.90857,0.81728,0.8958,0.52914,1.45177,0.7079,1.13992,0.007327,0.007327,0.007327
29,7277.54,1.60778,0.76631,1.14349,0.90074,0.81603,0.89258,0.53144,1.43575,0.69717,1.13229,0.007228,0.007228,0.007228
30,7479.26,1.60383,0.76661,1.14183,0.90492,0.8217,0.89241,0.53683,1.42274,0.69828,1.12641,0.007129,0.007129,0.007129
31,7681.18,1.59434,0.75553,1.13697,0.89976,0.82539,0.89475,0.53035,1.44441,0.70016,1.1338,0.00703,0.00703,0.00703
32,7882.38,1.59667,0.75306,1.13314,0.90124,0.83275,0.89541,0.54077,1.41575,0.68448,1.12144,0.006931,0.006931,0.006931
33,8081.52,1.58539,0.74888,1.13648,0.90252,0.8314,0.89533,0.54056,1.41148,0.68301,1.11948,0.006832,0.006832,0.006832
34,8282.09,1.58623,0.74794,1.13528,0.90545,0.83374,0.89941,0.54253,1.41941,0.68486,1.1173,0.006733,0.006733,0.006733
35,8491.36,1.57921,0.7432,1.13362,0.90847,0.82472,0.89261,0.5427,1.40996,0.68663,1.11528,0.006634,0.006634,0.006634
36,8696.84,1.57287,0.73779,1.12858,0.90765,0.83367,0.90124,0.54504,1.41744,0.67144,1.11804,0.006535,0.006535,0.006535
37,8898.22,1.56965,0.74208,1.13317,0.89165,0.84353,0.90061,0.54653,1.40595,0.67278,1.11349,0.006436,0.006436,0.006436
38,9098.73,1.57691,0.74117,1.12257,0.90564,0.83726,0.90247,0.55259,1.3875,0.67429,1.10363,0.006337,0.006337,0.006337
39,9299.75,1.56867,0.74256,1.12872,0.9047,0.8448,0.90161,0.55252,1.38952,0.66577,1.10393,0.006238,0.006238,0.006238
40,9498.64,1.57173,0.73216,1.12116,0.91392,0.83958,0.90746,0.54769,1.40708,0.65941,1.11286,0.006139,0.006139,0.006139
41,9699.89,1.56208,0.72871,1.12195,0.91411,0.83441,0.90603,0.55254,1.39541,0.66338,1.10607,0.00604,0.00604,0.00604
42,9902.13,1.55247,0.74048,1.11798,0.91012,0.84489,0.90602,0.55278,1.38729,0.66233,1.10313,0.005941,0.005941,0.005941
43,10101.6,1.55648,0.72473,1.12381,0.91136,0.83786,0.90088,0.5483,1.40778,0.66081,1.11142,0.005842,0.005842,0.005842
44,10306.2,1.55464,0.72272,1.11922,0.90542,0.84923,0.90869,0.55579,1.38691,0.65173,1.10336,0.005743,0.005743,0.005743
45,10505,1.54717,0.71504,1.11935,0.91965,0.83537,0.90719,0.55393,1.39081,0.65434,1.10406,0.005644,0.005644,0.005644
46,10704.9,1.55168,0.71818,1.11507,0.90713,0.84809,0.90712,0.55464,1.38805,0.65431,1.10166,0.005545,0.005545,0.005545
47,10911,1.54213,0.71019,1.11064,0.91429,0.84166,0.90729,0.55648,1.39328,0.64929,1.09955,0.005446,0.005446,0.005446
48,11111.2,1.55118,0.7146,1.11392,0.91759,0.84559,0.90934,0.55651,1.38354,0.65158,1.09852,0.005347,0.005347,0.005347
49,11309.8,1.54213,0.7063,1.11624,0.90643,0.85113,0.91091,0.55884,1.3732,0.64332,1.09172,0.005248,0.005248,0.005248
50,11511.2,1.53413,0.70462,1.1171,0.89658,0.8497,0.91128,0.56007,1.38581,0.64212,1.0972,0.005149,0.005149,0.005149
51,11710,1.5338,0.70626,1.11214,0.9119,0.8554,0.91248,0.56182,1.38098,0.64027,1.09487,0.00505,0.00505,0.00505
52,11909.1,1.54864,0.70577,1.10429,0.91327,0.85219,0.91054,0.56314,1.37413,0.63811,1.0928,0.004951,0.004951,0.004951
53,12112.9,1.53326,0.6986,1.10686,0.91388,0.84844,0.91344,0.56327,1.36929,0.64101,1.09232,0.004852,0.004852,0.004852
54,12310.6,1.5288,0.6999,1.11307,0.91125,0.85674,0.9116,0.56092,1.37414,0.63953,1.09454,0.004753,0.004753,0.004753
55,12508.6,1.5159,0.6906,1.10878,0.90986,0.85406,0.91253,0.55934,1.39127,0.63128,1.09691,0.004654,0.004654,0.004654
56,12708.8,1.52613,0.69405,1.10717,0.91291,0.84769,0.91085,0.55576,1.39511,0.63583,1.10207,0.004555,0.004555,0.004555
