epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.01729,1.43348,0.76,1,0.92804,0.000361917,0.000361917,0.000361917
2,17.9967,0.70115,0.82,1,0.45442,0.000717751,0.000717751,0.000717751
3,26.9773,0.385,0.87333,1,0.28965,0.00105892,0.00105892,0.00105892
4,35.6607,0.28671,0.92,1,0.23384,0.00104501,0.00104501,0.00104501
5,44.4513,0.21035,0.91333,1,0.229,0.00102301,0.00102301,0.00102301
6,53.1493,0.15412,0.86667,1,0.27943,0.00100101,0.00100101,0.00100101
7,61.8269,0.18835,0.90667,1,0.19163,0.000979013,0.000979013,0.000979013
8,70.4501,0.14381,0.92,1,0.17377,0.000957015,0.000957015,0.000957015
9,79.1577,0.12503,0.94,1,0.14069,0.000935018,0.000935018,0.000935018
10,87.9074,0.11907,0.93333,1,0.143,0.00091302,0.00091302,0.00091302
11,96.5647,0.09187,0.92667,1,0.16153,0.000891022,0.000891022,0.000891022
12,105.341,0.07961,0.93333,1,0.20033,0.000869024,0.000869024,0.000869024
13,113.922,0.09728,0.94,1,0.17248,0.000847026,0.000847026,0.000847026
14,122.627,0.07845,0.95333,1,0.15751,0.000825029,0.000825029,0.000825029
15,131.377,0.09816,0.95333,1,0.15906,0.000803031,0.000803031,0.000803031
16,140.147,0.06295,0.94,1,0.20738,0.000781033,0.000781033,0.000781033
17,148.709,0.05414,0.96,1,0.13872,0.000759035,0.000759035,0.000759035
18,157.404,0.07,0.94667,1,0.1421,0.000737037,0.000737037,0.000737037
19,166.097,0.06596,0.97333,1,0.11127,0.00071504,0.00071504,0.00071504
20,174.712,0.04988,0.95333,1,0.12314,0.000693042,0.000693042,0.000693042
21,183.332,0.06715,0.92667,1,0.15193,0.000671044,0.000671044,0.000671044
22,192.002,0.03463,0.94,1,0.16844,0.000649046,0.000649046,0.000649046
23,200.715,0.04212,0.94667,1,0.195,0.000627048,0.000627048,0.000627048
24,209.316,0.03086,0.94667,1,0.20372,0.000605051,0.000605051,0.000605051
25,217.957,0.04112,0.94667,1,0.17596,0.000583053,0.000583053,0.000583053
26,226.682,0.04523,0.94,1,0.17881,0.000561055,0.000561055,0.000561055
27,235.349,0.02763,0.94667,1,0.24022,0.000539057,0.000539057,0.000539057
28,244.005,0.04529,0.94667,1,0.2192,0.000517059,0.000517059,0.000517059
29,252.643,0.01408,0.92,1,0.25088,0.000495062,0.000495062,0.000495062
30,261.303,0.02808,0.94,1,0.22142,0.000473064,0.000473064,0.000473064
31,269.966,0.01964,0.93333,1,0.24255,0.000451066,0.000451066,0.000451066
32,278.556,0.01888,0.94667,1,0.22963,0.000429068,0.000429068,0.000429068
33,287.313,0.03427,0.92667,1,0.29076,0.00040707,0.00040707,0.00040707
34,295.902,0.02803,0.94667,1,0.23638,0.000385073,0.000385073,0.000385073
35,304.486,0.04266,0.94,1,0.22589,0.000363075,0.000363075,0.000363075
36,313.394,0.03496,0.94,1,0.24559,0.000341077,0.000341077,0.000341077
37,322.28,0.03097,0.94,1,0.23163,0.000319079,0.000319079,0.000319079
38,330.926,0.03136,0.94,1,0.22908,0.000297081,0.000297081,0.000297081
39,339.613,0.03346,0.94,1,0.24069,0.000275084,0.000275084,0.000275084
40,348.373,0.02521,0.94,1,0.20735,0.000253086,0.000253086,0.000253086
41,357.013,0.02549,0.94667,1,0.16176,0.000231088,0.000231088,0.000231088
42,365.616,0.02117,0.94,1,0.15686,0.00020909,0.00020909,0.00020909
43,374.32,0.02264,0.94667,1,0.15455,0.000187092,0.000187092,0.000187092
44,383.012,0.01644,0.96667,1,0.15459,0.000165095,0.000165095,0.000165095
45,391.618,0.01295,0.96,1,0.15994,0.000143097,0.000143097,0.000143097
46,400.237,0.02513,0.94667,1,0.15231,0.000121099,0.000121099,0.000121099
47,408.908,0.01764,0.95333,1,0.14624,9.91012e-05,9.91012e-05,9.91012e-05
48,417.591,0.02867,0.96,1,0.14401,7.71034e-05,7.71034e-05,7.71034e-05
49,426.24,0.02281,0.96,1,0.14309,5.51056e-05,5.51056e-05,5.51056e-05
50,434.925,0.02544,0.96667,1,0.1408,3.31078e-05,3.31078e-05,3.31078e-05
